pathway,Taxonomy,gene
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A076J0M3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_R6YPH4
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_D4V4U7
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q5L923
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q5L9E3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_R5CHH0
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A6KXL2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_D1PFW5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q8A8R5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_D1PGM2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A076IRH5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_R5CP60
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A0P0LFD2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_R6YRU1
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,,
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,,
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus,
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_A0A229I4J4
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_P94598
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus,UniRef90_D4VCM7
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_A0A229I4J4
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_P94598
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_D4VCM7
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis_CAG_3,
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis_CAG_3,UniRef90_A0A229I4J4
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis_CAG_3,UniRef90_P94598
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis_CAG_3,UniRef90_D4VCM7
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis,
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_A0A229I4J4
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_P94598
ARGININE-SYN4-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_D4VCM7
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),,
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A6KYN9
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_R5S2B6
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_D1PCY1
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A6KXY5
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A174JVP9
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_Q5LI10
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_K1FTU8
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_F3PL25
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A6L013
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A3E4SC08
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_Q8A1A7
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_D1PBY1
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus,UniRef90_A0A174JTT9
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A6KYN9
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_R5S2B6
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_D1PCY1
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A6KXY5
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_A0A174JVP9
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_Q5LI10
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_K1FTU8
ARGSYN-PWY,g__Butyrivibrio.s__Butyrivibrio_crossotus_CAG_259,UniRef90_F3PL25
